Name of scheme	Climate Hazard	Key Collaberators	Theme	Country
Agricultural insurance in South Africa	Extreme Weather Events|Wildfire|Disease|Flood|Drought/Water Scarcity|Earthquake	Private Sector Partners		South Africa
Index-Based Livestock Insurance Project  (IBLIP) in Mongolia	Extreme Weather Events	Private Sector Partners|National Governments|Country Office	Disaster risk reduction                          	Mongolia
Index weather crop insurance  in Thailand	Drought/Water Scarcity	Private Sector Partners|National Governments|Country Office	"Infrastructure/Climate Change Risk Management|Disaster risk reduction legislation    
"	Thailand
Index weather crop insurance in Bangladesh	Drought/Water Scarcity			Bangladesh
Index weather crop insurance in China (Shanghai)	Drought/Water Scarcity	National Governments		China
Typhoon index crop insurance in Philippines	Extreme Weather Events	Private Sector Partners|Non-Governmental Organizations		Philippines
Yield index crop insurance in Philippines	Extreme Weather Events	National Governments|Country Office	Rural Development|Agriculture/Food Security|Natural Resource Management                                                                                                                  	Philippines
Flood index crop insurance in Viet Nam	Flood	Private Sector Partners|National Governments|Country Office	Infrastructure/Climate Change Risk Management	Viet Nam
Yield index crop insurance in Viet Nam	Drought/Water Scarcity|Flood|Extreme Weather Events|Disease	Private Sector Partners|National Governments		Viet Nam
Index weather crop insurance in Indonesia	Extreme Weather Events	National Governments|Country Office		Indonesia
Index weather crop insurance in Ukraine	Drought/Water Scarcity	Private Sector Partners|National Governments|Country Office	Disaster Risk Reduction	Ukraine
Index weather crop insurancet in Kazakhstan; linked to MPCI program	Drought/Water Scarcity|Flood|Extreme Weather Events|Disease|Earthquake|Wildfire	Country Office		Kazakhstan
Index weather crop insurancet in Romania	Extreme Weather Events|Flood|Drought/Water Scarcity	Private Sector Partners		Romania
Index weather crop insurance  in Central America	Drought/Water Scarcity|Extreme Weather Events|Flood	Private Sector Partners|Non-Governmental Organizations|National Governments|Country Office	Disaster Risk Reduction	Guatemala|Honduras|Nicaragua
Fondo de Mitigacion del Riesgo Agrario (FMRA) in Bolivia			Disaster Risk Reduction	Bolivia
Yield index insurance for disaster relief in Brazil	El Nino	National Governments|Local Governments|Private Sector Partners	Disaster risk reduction legislation|Rural Development                                                                                                                     	Brazil
Yield index crop insurance for cotton farmers in Peru	Drought/Water Scarcity|Extreme Weather Events|Flood	Private Sector Partners|National Governments|Country Office	Infrastructure/Climate Risk Management	Peru
Index weather crop insurance for the coffee industry in Jamaica	Extreme Weather Events	National Governments|Country Office	Infrastructure/Climate Risk Management	Jamaica
Index weather crop insurance in Bolivia	Extreme Weather Events|Flood	Private Sector Partners|National Governments|Country Office|Local Governments		Bolivia
Index weather crop insurance in Colombia	Drought/Water Scarcity	Private Sector Partners		Colombia
Index insurance for insufficient irrigation supply in Rio Mayo, Mexico	Drought/Water Scarcity	Country Office		Mexico 
Index weather crop insurance in Morocco	Drought/Water Scarcity	Country Office		Morocco
Agricultural insurance in Iran	Land Degradation and Deforestation|Extreme Weather Events|Wildfire|Disease|Flood|Drought/Water Scarcity|Earthquake	Private Sector Partners|National Governments		Iran
Subsidized agricultural insurance in Morocco	Drought/Water Scarcity	Private Sector Partners|National Governments		Morocco
Insurance for Asian Megacities		Private Sector Partners|National Governments|Country Office|Non-Governmental Organizations	Infrastructure/Climate Risk Management	Indonesia|Philippines|Viet Nam
State-subsidized index weather crop insurance in India	Extreme Weather Events|Disease|Flood|Drought/Water Scarcity	Private Sector Partners|National Governments|Country Office|Local Governments	Disaster Risk Reduction	India
PepsiCo's index weather insurance for potato contract farmers in India	Disease|Extreme Weather Events	Private Sector Partners|National Governments	Disaster Risk Reduction|Agriculture/Food Security                                                                                                                                                                                                                             	India
Index-based agriculture insurance in Nepal	Extreme Weather Events	National Governments|Country Office		Nepal
Index-based crop insurance in Bangladesh	Flood	National Governments|Country Office		Bangladesh
National Agricultural Insurance Scheme (NAIS) and the modified NAIS (mNAIS) project in India	Wildfire|Extreme Weather Events|Flood|Drought/Water Scarcity|Disease	Private Sector Partners|National Governments|Country Office|Local Governments	Agriculture/Food Security|Water Resources                                                                                                                      	India
Rainfall Insurance Scheme for Coffee Growers (RISC) in India				India
