Title of business case                        	Name of company	Business sector              	Main adaptation area relevant to case study                                             	Country
Enabling access to weather and climate services in Africa 	Ericsson 	Telecommunications 	Science, assessment, monitoring and early warning 	Uganda
Providing farming training and assistance 	Nestlé 	Food and Beverages 	Education and training; Food security; Agriculture, forestry and fisheries; Water resources 	China; Cote d'Ivoire; Ecuador; France; Indonesia; Mexico; Philippines; Thailand
Mainstreaming adaptation into projects: the Climate Safeguards System prototype 	Global Climate Adaptation Partnership (GCAP) 	Consulting and Environmental Services 	Science, assessment, monitoring and early warning 	Tunisia
Rainwater harvesting and storage technology 	EnterpriseWorks/VITA (EWV) a Division of Relief International 	Consulting and Environmental Services 	Business; Human health; Water resources 	Uganda
The SimCLIM modelling system for climate impact and adaptation assessment 	CLIMsystems Ltd 	Information Technology Services 	Transport, infrastructure and human settlements; Water resources 	United States of America
Natural disaster insurance protecting Haiti's micro-entrepreneurs 	Fonkoze (Fondasyon Kole Zepol) 	Financial Services 	Business; Education and training; Transport, infrastructure and human settlements 	Haiti
Going beyond offsetting to invest in adaptation 	Freshfields Bruckhaus Deringer LLP;  UNICEF UK 	Legal Services 	Human health; Water resources 	Mozambique
Desalination: Kurnell Project 	Veolia Water 	Energy and Utilities 	Water resources 	Australia
The effects of climate change on highway network policies and standards 	URS Corporation 	Construction and Engineering 	Transport, infrastructure and human settlements 	United Kingdom
Adaptation of Railways to Climate Change 	International Union of Railways (UIC) 	Transport and Logistics 	Transport, infrastructure and human settlements 	France
Taking care of water: Adapting business operations 	Thames Water 	Energy and Utilities 	Water resources 	United Kingdom
Weather Index Insurance for drought risk in Thailand 	Sompo Japan Insurance, Inc. 	Financial Sector 	Transport, infrastructure and human settlements; Water resources 	Thailand
Mountains of change 	Rifugio Dorigoni 	Tourism and Recreation 	Food security; Agriculture, forestry and fisheries; Tourism 	Italy
Wave Energy Converter 	Nova Oceanic Energy Systems Inc. 	Energy and Utilities 	Oceans and coastal areas 	Dominican Republic
Tomorrow's railway and climate change adaptation 	Network Rail Infrastructure Limited 	Transport and Logistics 	Transport, infrastructure and human settlements 	United Kingdom
Research4Life and Eye On Earth 	Microsoft Corporation 	Information Technology Services 	Education and training; Science, assessment, monitoring and early warning 	World
Climate Change and Environmental Risk Atlas 	Maplecroft 	Information Technology Services; Consulting and Environmental Services 	Science, assessment, monitoring and early warning 	World
Investing in adaptation as part of corporate carbon management strategy 	CB Richard Ellis (CBRE); UNICEF UK 	Real Estate Services 	Education and training; Human health 	Madagascar
Adaptation for Smallholders to Climate Change 	Cafédirect 	Food and Beverages 	Food security; Agriculture, forestry and fisheries 	Peru
Climate change adaptation strategy for Kayonza Growers Tea Factory 	Cafédirect 	Food and Beverages 	Food security; Agriculture, forestry and fisheries 	Uganda
New technologies for climate change adaptation 	BASF 	Chemicals 	Food security; Agriculture, forestry and fisheries 	Brazil
Adaptation and the legal sector 	Ecofys 	Consulting and Environmental Services 	Education and training 	The Netherlands
