identifier,financing amount
spa-cba-guatemala-tree-nursery-activities-reforestation-taltimiche-plains-aprodic,19376
spa-cba-morocco-vetiver-grass-and-conservation-farming-sidi-majbeur,20008
spa-cba-guatemala-reforestation-and-soil-conservation-improve-tree-nurseries-adaptation,20395
spa-%E2%80%9Ctell-it%E2%80%9D-disseminating-caribbean-climate-change-science-and-stories,20500
spa-cba-niger-developing-sustainable-agricultural-techniques-adaptation-roumbou,22345
spa-cba-niger-intensified-goat-breeding-help-vulnerable-women-adapt-climate-change-effects,23215
spa-cba-guatemala-soil-recovery-organic-composting-crop-and-soil-conservation-structures,25000
spa-cba-guatemala-adapting-climate-change-through-application-green-forest-borders-odich,25000
spa-cba-samoa-lelepa-village,25000
spa-cba-samoa-adaptation-flooding-and-sea-level-rise-fagamalo,25000
spa-cba-samoa-adaptation-flooding-and-sea-level-rise-avao-vaipouli-saleia,25000
spa-cba-morocco-agroforestry-and-soilwater-conservation-boumaad-community-fouss,25354
spa-cba-samoa-adaptation-flooding-and-sea-level-rise-%E2%80%93-safai-community,30000
spa-cba-samoa-satoalepai,30000
spa-cba-niger-adapting-pastoral-and-agricultural-practices-realities-climate-change-agir,31125
spa-cba-bolivia-sustainable-management-cherimoya-crop-climate-change-adaptation-saipina-fan,31500
spa-cba-kazakhstan-sustainable-water-and-land-management-south-kazakhstan-under-increased,34000
spa-cba-morocco-land-water-protection-conservation-farming-and-climate-risk-management-el,34209
spa-cba-bolivia-knowledge-and-tools-sustainable-management-water-and-soils-moro-moro-natura,34875
spa-cba-bolivia-recovery-tarwi-seeds-adaptation-carabuco-municipality-near-lake-titicaca,35000
spa-cba-bolivia-water-source-protection-and-soil-conservation-through-reforestation,35000
spa-cba-bolivia-participatory-adaptation-learning-reduce-food-insecurity-ancoraimes-plan,35000
spa-cba-bolivia-rural-water-and-climate-risk-management-alto-seco-area-ico,35972
spa-cba-morocco-natural-resource-and-endemic-species-conservation-laachoria-community,40765
spa-cba-niger-intensified-agroforestry-practices-adaptation-t%C3%A2nout-yanahi,41331
spa-cba-jamaica-glengoffe-climate-change-adaptation,42000
spa-cba-niger-hut-livestock-reduce-household-vulnerability-houtchi-and-dan-djaoudi-roumbou,42424
spa-cba-kazakhstan-autumnwinter-irrigation-adaptive-mechanism-water-resources-kogal-public,43140
spa-cba-jamaica-watershed-conservation-programme-awareness-and-action-rio-grande-watershed,43407
spa-cba-kazakhstan-climate-resilient-horse-production-kargaly-village,44000
spa-cba-jamaica-land-preservation-measures-combat-cc-pressures-martha-brae-watershed,45000
spa-cba-morocco-resiliency-through-sustainable-farmingforestry-strategies-azilal-province,45104
spa-cba-namibia-adjusting-agricultural-practices-reduce-climate-change-risk-omusati-region,45954
spa-cba-bangladesh-community-based-wetland-management-project-biram,46096
spa-cba-morocco-enhancing-resilience-iguiwas-oasis-ecosystem-impacts-climate-change-tiflit,47137
spa-cba-bangladesh-promoting-diversified-agro-based-activities-jamalpur-district-rdop,47808
spa-cba-bangladesh-coping-climate-risks-empowering-women-coastal-areas-gbss,47970
spa-cba-kazakhstan-adapting-farming-practices-increasing-temperatures-and-aridity-akmola,48000
spa-cba-jamaica-increasing-community-adaptation-and-ecosystem-resilience-climate-change,48000
spa-cba-kazakhstan-adapting-grazing-stock-raising-lepsy-village-farmer-foundation,48030
spa-cba-bangladesh-piloting-climate-resilient-development-initiatives-cnrs,48638
spa-cba-morocco-strengthening-tarmguiste-ecosystem-resilience-and-local-adaptive-capacities,48892
spa-cba-niger-adapting-climate-change-community-tamalolo,49023
spa-cba-bangladesh-strengthening-community-resilience-southwestern-coastal-area-practical,49990
spa-cba-viet-nam-applying-technologies-address-flash-floods-and-drought-cam-tam-commune,50000
spa-cba-viet-nam-onion-based-cultivation-crops-adapt-droughts-and-saline-intrusion-vinh,50000
spa-cba-viet-nam-conservation-sustainable-use-drought-and-salinity-tolerant-rice-varieties,50000
spa-cba-viet-nam-adaptation-through-conservation-and-sustainable-use-natural-resources-thua,50000
spa-cba-viet-nam-sustainable-agricultural-production-and-food-security-phuoc-hoa-commune,50000
spa-cba-viet-nam-addressing-drought-and-saltwater-intrusion-issues-agro-development-ky-nam,50000
spa-cba-viet-nam-minimizing-climate-change-impacts-sustainable-aquaculture-con-truong-hoang,50000
spa-cba-samoa-protection-and-conservation-mangroves-eco-systems-and-coral-reefs-fasitootai,50000
spa-cba-kazakhstan-demonstrating-adaptive-land-management-priozernoye-association-landscape,50000
spa-cba-kazakhstan-reducing-vulnerability-declining-water-supplies-burevestnik-water-users,50000
spa-cba-kazakhstan-climate-resilient-pasture-and-livestock-management-zhangeldy-village,50000
spa-cba-kazakhstan-forest-protection-belts-combat-increasing-aridity-shyrkyn-village,50000
spa-cba-kazakhstan-adaptation-increased-aridity-through-climate-resilient-agro-silvo,50000
spa-cba-jamaica-reducing-climate-change-driven-erosion-and-landslide-risk-through,50000
spa-cba-niger-improving-agro-forestry-and-providing-better-seeds-community-maigochi-saboua,61711
spa-community-based-adaptation-guatemala,89772
national-capacity-self-assessment-bolivia,200000
yemen-national-adaptation-programme-action-napa,200000
sudan-national-adaptation-programme-action-napa,200000
zambia-national-adaptation-programme-action-napa,200000
vanuatu-national-adaptation-programme-action-napa,200000
togo-national-adaptation-programme-action-napa,200000
timor-leste-national-adaptation-programme-action-napa,200000
solomon-islands-national-adaptation-programme-action-napa,200000
sierra-leone-national-adaptation-programme-action-napa,200000
samoa-national-adaptation-programme-action-napa,200000
niger-national-adaptation-programme-action-napa,200000
nepal-national-adaptation-programme-action-napa,200000
mozambique-national-adaptation-programme-action-napa,200000
ldcf-mali-national-adaptation-programme-action-napa,200000
malawi-national-adaptation-programme-action-napa,200000
laos-pdr-national-adaptation-programme-action-napa,200000
kiribati-national-adaptation-programme-action-napa,200000
guinea-bissau-national-adaptation-programme-action-napa,200000
guinea-national-adaptation-programme-action-napa,200000
ethiopia-national-programme-action-napa,200000
